if(index > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index == 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(plot!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index >= 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index == 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(info!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index!=0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(state!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index > 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index <= 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index>0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index==0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 2){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index==null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index == 2){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index<0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index >= 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(source!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(parent!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(data!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 3){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index >= 2){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index > 2){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(allPasses){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 10){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(chart!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(error!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 5){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index <= 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(slice!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(pos > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debug!=false){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index == index){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index === 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debug == true){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index <= 2){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(stats!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(plot!= null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(pos == 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(count > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index==1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(showPasses){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(info == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(parent == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(source == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 4){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(i == index){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debug!=0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index!=1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debug == 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debug!=true){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(position > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(i > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(i == 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(series!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 100){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(name!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(unit!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index < 50){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(slice == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(layout!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index<2){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index-1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index == 3){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(computeTotal){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(state==null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if( index > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index>1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(array!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(i!=0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(position!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(output!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(params!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(state == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debug!=1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(span!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(component!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debugPasses){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(pos==null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(data == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if( index!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debug == false){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(passesRequired){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(offset > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(showPiePlot){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(info!= null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(debugTests){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(title!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(style!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(true!=true){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(label!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(obj!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(pos!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(page == 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(plot == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(trace!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index >= 3){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index == 5){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(pos < 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(region!=null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(pos!=0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(index > index){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(size > 0){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(this!=plot){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(count > 1){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
if(error == null){state.setTotal(DatasetUtilities.calculatePieDatasetTotal( plot.getDataset())); }
