if(this.runningState== STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_ENDED){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState!= RUNNING){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= RUNNING){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_OK){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_END){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_running){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_NING){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_OFF){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_DOWN){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_Running){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STATE_STATE){stopTime = System.currentTimeMillis(); }
if(this.runningState!== RUNNING){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_NEW){stopTime = System.currentTimeMillis(); }
if(this.runningState.isRunning()){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_NAME){stopTime = System.currentTimeMillis(); }
if(this.runningState == STATE_FREE){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STARTED){stopTime = System.currentTimeMillis(); }
if(this.runningState!== RUNNING){stopTime = System.currentTimeMillis(); }
if(this.runningState==STATE_UP){stopTime = System.currentTimeMillis(); }
if(this.runningState === STATE_ERROR){stopTime = System.currentTimeMillis(); }
if(this.runningState== STATE_DATA){stopTime = System.currentTimeMillis(); }
if(this.runningState!= STARTED){stopTime = System.currentTimeMillis(); }
