for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
for (int i = 0; i < pointSet.size(); i++) {
