return allResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveResultsMatch(n, MAY_BE_STRING_PREDICATE);
return anyResultsMatch(n, MAY_BE_STRING_PREDICATE);
return eachResultsMatch(n, MAY_BE_STRING_PREDICATE);
return multipleResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recurseHelper(n, MAY_BE_STRING_PREDICATE);
return recurseMatch(n, MAY_BE_STRING_PREDICATE);
return allResultMatch(n, MAY_BE_STRING_PREDICATE);
return childResultsMatch(n, MAY_BE_STRING_PREDICATE);
return ALLResultsMatch(n, MAY_BE_STRING_PREDICATE);
return oneResultsMatch(n, MAY_BE_STRING_PREDICATE);
return everyResultsMatch(n, MAY_BE_STRING_PREDICATE);
return completeResultsMatch(n, MAY_BE_STRING_PREDICATE);
return AllResultsMatch(n, MAY_BE_STRING_PREDICATE);
return directResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recurseNode(n, MAY_BE_STRING_PREDICATE);
return this.match(n, MAY_BE_STRING_PREDICATE);
return onlyResultsMatch(n, MAY_BE_STRING_PREDICATE);
return theResultsMatch(n, MAY_BE_STRING_PREDICATE);
return nestedResultsMatch(n, MAY_BE_STRING_PREDICATE);
return fullResultsMatch(n, MAY_BE_STRING_PREDICATE);
return wholeResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveResultMatch(n, MAY_BE_STRING_PREDICATE);
return childNodes(n, MAY_BE_STRING_PREDICATE);
return subResultsMatch(n, MAY_BE_STRING_PREDICATE);
return firstResultsMatch(n, MAY_BE_STRING_PREDICATE);
return singleResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveNodeMatch(n, MAY_BE_STRING_PREDICATE);
return entireResultsMatch(n, MAY_BE_STRING_PREDICATE);
return severalResultsMatch(n, MAY_BE_STRING_PREDICATE);
return manyResultsMatch(n, MAY_BE_STRING_PREDICATE);
return childNodeMatch(n, MAY_BE_STRING_PREDICATE);
return childIsString(n, MAY_BE_STRING_PREDICATE);
returnAllResultsMatch(n, MAY_BE_STRING_PREDICATE);
return partialResultsMatch(n, MAY_BE_STRING_PREDICATE);
return nextResultsMatch(n, MAY_BE_STRING_PREDICATE);
return getResultsMatch(n, MAY_BE_STRING_PREDICATE);
return childsMatch(n, MAY_BE_STRING_PREDICATE);
return willBeString(n, MAY_BE_STRING_PREDICATE);
return someResultsMatch(n, MAY_BE_STRING_PREDICATE);
return descendantResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveMatches(n, MAY_BE_STRING_PREDICATE);
return mayBeString(n, MAY_BE_STRING_PREDICATE);
return recursiveCompile(n, MAY_BE_STRING_PREDICATE);
return moreResultsMatch(n, MAY_BE_STRING_PREDICATE);
return childMatches(n, MAY_BE_STRING_PREDICATE);
return rootResultsMatch(n, MAY_BE_STRING_PREDICATE);
return leafResultsMatch(n, MAY_BE_STRING_PREDICATE);
return rootNodeMatch(n, MAY_BE_STRING_PREDICATE);
return doRecurse(n, MAY_BE_STRING_PREDICATE);
return asStringHelper(n, MAY_BE_STRING_PREDICATE);
return recursiveStringHelper(n, MAY_BE_STRING_PREDICATE);
return trueResultsMatch(n, MAY_BE_STRING_PREDICATE);
return noResultsMatch(n, MAY_BE_STRING_PREDICATE);
return childSibling(n, MAY_BE_STRING_PREDICATE);
return everythingResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveResolve(n, MAY_BE_STRING_PREDICATE);
return additionalResultsMatch(n, MAY_BE_STRING_PREDICATE);
return lastResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveMatchHelper(n, MAY_BE_STRING_PREDICATE);
return remainingResultsMatch(n, MAY_BE_STRING_PREDICATE);
return andResultsMatch(n, MAY_BE_STRING_PREDICATE);
return mostResultsMatch(n, MAY_BE_STRING_PREDICATE);
return childNamesMatch(n, MAY_BE_STRING_PREDICATE);
return subsequentResultsMatch(n, MAY_BE_STRING_PREDICATE);
return twoResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveNodes(n, MAY_BE_STRING_PREDICATE);
return justResultsMatch(n, MAY_BE_STRING_PREDICATE);
return recursiveParse(n, MAY_BE_STRING_PREDICATE);
